"shipping_id","order_id","shipping_provider","delay_days"
6,6035,"fedex",5
9,11560,"fedex",4
13,11416,"fedex",4
17,11768,"fedex",5
20,14299,"fedex",5
22,16246,"fedex",5
27,6581,"fedex",5
33,11288,"fedex",4
35,3017,"fedex",5
36,4613,"fedex",5
38,1463,"fedex",4
40,4133,"fedex",5
42,2923,"fedex",5
44,15351,"fedex",5
45,3829,"fedex",4
50,7404,"fedex",5
55,19759,"fedex",4
57,6785,"fedex",5
58,10564,"fedex",5
64,9636,"fedex",4
72,11204,"fedex",4
73,9488,"fedex",5
76,8038,"fedex",4
79,12634,"fedex",5
83,14679,"fedex",4
87,2601,"fedex",4
91,3361,"fedex",5
100,7248,"fedex",5
105,8628,"fedex",4
106,15025,"fedex",4
107,4761,"fedex",5
108,3309,"fedex",4
109,12174,"fedex",5
111,87,"fedex",5
116,15625,"fedex",5
118,1095,"fedex",4
119,13717,"fedex",5
120,521,"fedex",4
122,10582,"fedex",4
124,15724,"fedex",4
126,16628,"fedex",5
133,18913,"fedex",5
134,3671,"fedex",4
135,17086,"fedex",5
137,2379,"fedex",4
140,17106,"fedex",5
141,10428,"fedex",4
144,7132,"fedex",5
146,8736,"fedex",5
147,17699,"fedex",5
148,527,"fedex",4
152,17400,"fedex",4
161,3815,"fedex",5
162,3475,"fedex",4
164,17230,"fedex",4
166,14433,"fedex",5
168,2965,"fedex",4
170,6589,"fedex",4
172,5345,"fedex",4
177,289,"fedex",5
178,4479,"fedex",4
182,17983,"fedex",4
184,11254,"fedex",4
189,5991,"fedex",5
192,18469,"fedex",5
193,16756,"fedex",5
194,5749,"fedex",4
195,18815,"fedex",4
198,3175,"fedex",4
199,14735,"fedex",5
202,5875,"fedex",5
207,14463,"fedex",4
208,1583,"fedex",5
211,12108,"fedex",4
213,19833,"fedex",5
215,8096,"fedex",4
222,2005,"fedex",4
223,8026,"fedex",5
225,10896,"fedex",5
226,19551,"fedex",4
227,18017,"fedex",4
231,12832,"fedex",5
233,13057,"fedex",4
235,3239,"fedex",5
236,11066,"fedex",4
242,3519,"fedex",5
245,18257,"fedex",5
250,18035,"fedex",5
251,9456,"fedex",5
253,6097,"fedex",4
254,4745,"fedex",5
256,2089,"fedex",5
257,12989,"fedex",5
258,5781,"fedex",5
261,9792,"fedex",4
267,3951,"fedex",4
271,11906,"fedex",4
275,8112,"fedex",5
279,14371,"fedex",4
282,1821,"fedex",4
283,17669,"fedex",5
286,15115,"fedex",5
288,15912,"fedex",5
294,7200,"fedex",4
300,19257,"fedex",5
301,5003,"fedex",4
302,16640,"fedex",4
303,5399,"fedex",4
304,18231,"fedex",4
307,14391,"fedex",4
309,6143,"fedex",5
312,14883,"fedex",4
314,15671,"fedex",4
317,18501,"fedex",4
318,11982,"fedex",4
319,17977,"fedex",4
321,6355,"fedex",5
322,10124,"fedex",4
323,9744,"fedex",5
324,19805,"fedex",4
329,6957,"fedex",5
330,10580,"fedex",4
335,14775,"fedex",4
348,7870,"fedex",4
349,11740,"fedex",5
353,13715,"fedex",4
355,8848,"fedex",4
356,8534,"fedex",5
358,14079,"fedex",4
359,14247,"fedex",4
364,16620,"fedex",5
365,15776,"fedex",5
367,14637,"fedex",5
371,5113,"fedex",4
374,11088,"fedex",5
375,19561,"fedex",4
377,13279,"fedex",4
384,1967,"fedex",4
386,17749,"fedex",4
393,12292,"fedex",5
394,8192,"fedex",5
397,13093,"fedex",5
398,9234,"fedex",5
399,9564,"fedex",5
402,15738,"fedex",5
403,19175,"fedex",4
405,19039,"fedex",4
406,16316,"fedex",4
412,15075,"fedex",5
415,3483,"fedex",4
419,14859,"fedex",5
420,7776,"fedex",4
423,9748,"fedex",4
426,6111,"fedex",5
427,17965,"fedex",5
431,6707,"fedex",4
432,5179,"fedex",5
436,16268,"fedex",5
437,15455,"fedex",5
438,12278,"fedex",5
439,12258,"fedex",5
440,8278,"fedex",5
442,10084,"fedex",5
444,17166,"fedex",4
452,17811,"fedex",4
